dth_lung_canc_0_74_yrs_2011_15_sdr, dth_cereb_dise_0_74_yrs_2011_15_num, dth_lung_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_brst_canc_f_0_74_yrs_2011_15_avg_yr_asr_100k, dth_cereb_dise_0_74_yrs_2011_15_sdr, dth_canc_0_74_yrs_2011_15_num, dth_copd_0_74_yrs_2011_15_num, dth_isch_hrt_dise_0_74_yrs_2011_15_num, dth_colortl_canc_0_74_yrs_2011_15_sdr, dth_copd_0_74_yrs_2011_15_avg_yr_asr_100k, dth_diab_0_74_yrs_2011_15_avg_yr_asr_100k, lga_name, dth_brst_canc_f_0_74_yrs_2011_15_num, dth_colortl_canc_0_74_yrs_2011_15_num, dth_resp_sys_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_colortl_canc_0_74_yrs_2011_15_avg_yr_asr_100k, dth_resp_sys_dise_0_74_yrs_2011_15_sdr, dth_resp_sys_dise_0_74_yrs_2011_15_num, dth_circ_sys_dise_0_74_yrs_2011_15_num, dth_diab_0_74_yrs_2011_15_num, dth_isch_hrt_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_isch_hrt_dise_0_74_yrs_2011_15_sdr, dth_circ_sys_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_lung_canc_0_74_yrs_2011_15_num, dth_cereb_dise_0_74_yrs_2011_15_avg_yr_asr_100k, dth_brst_canc_f_0_74_yrs_2011_15_sdr, lga_code, dth_copd_0_74_yrs_2011_15_sdr, dth_circ_sys_dise_0_74_yrs_2011_15_sdr, dth_diab_0_74_yrs_2011_15_sdr, dth_canc_0_74_yrs_2011_15_sdr
57,16,12.058,79.215,11.899,84,189,16,44,75,6.708,3.375,"Macedon Ranges (S)",14,16,8.88,6.724,59,21,88,8,18.431,78,37.146,29,6.764,74,"24130",76,83,56,79
59,38,12.448,70.96,13.302,67,485,16,88,91,2.198,2.139,"Manningham (C)",45,55,5.077,8.104,34,36,179,15,12.83,55,26.128,87,5.43,82,"24210",25,58,35,71
51,null,10.743,77.387,null,null,41,null,9,null,null,null,"Mansfield (S)",null,null,12.663,null,84,7,22,null,16.649,71,42.957,6,null,null,"24250",null,96,null,77
97,22,20.302,94.075,9.412,104,248,30,87,88,12.474,6.9,"Maribyrnong (C)",13,21,18.897,7.867,126,48,167,18,32.893,140,62.25,51,8.383,58,"24330",141,139,114,94
89,50,18.765,98.749,18.399,121,507,32,84,94,6.264,3.905,"Maroondah (C)",49,43,11.158,8.451,74,57,191,20,16.391,70,37.26,96,9.741,114,"24410",71,83,65,98
53,19,11.19,67.782,10.092,79,206,18,55,47,6.511,1.972,"Melbourne (C)",15,13,8.465,4.192,56,25,111,6,18.419,78,36.046,32,6.383,63,"24600",74,81,33,67
98,40,20.576,98.335,16.676,123,401,32,95,109,8.703,7.432,"Melton (C)",37,40,16.438,9.711,109,63,196,29,23.226,99,47.918,80,9.959,103,"24650",99,107,123,98
118,19,24.742,110.556,18.783,89,292,33,81,89,12.211,6.408,"Mildura (RC)",24,21,16.833,7.977,112,45,147,17,30.67,130,55.755,66,7.155,116,"24780",138,125,106,110
107,16,22.535,111.87,9.435,118,191,14,33,131,8.522,7.73,"Mitchell (S)",8,20,14.445,11.763,96,24,78,13,19.432,83,46.103,38,9.552,58,"24850",97,103,128,111
125,15,26.128,118.906,13.575,102,212,30,43,95,15.596,7.158,"Moira (S)",11,15,24.169,8.464,161,45,80,13,24.127,103,45.019,48,8.264,84,"24900",177,101,118,118
72,51,15.012,75.622,13.267,71,660,28,111,80,3.078,3.039,"Monash (C)",58,62,8.112,7.116,54,73,236,27,12.694,54,26.831,132,5.72,82,"24970",35,60,50,75
75,37,15.645,90.687,13.677,86,477,36,109,104,6.816,5.481,"Moonee Valley (C)",37,49,12.097,9.303,81,64,210,29,20.657,88,39.657,82,6.964,85,"25060",77,89,91,90
132,12,27.582,114.332,9.46,100,173,11,33,112,7.442,null,"Moorabool (S)",7,15,14.058,10.03,94,21,67,null,21.868,93,44.605,42,8.04,59,"25150",84,100,null,114
97,48,20.433,99.352,16.573,98,590,40,147,126,6.88,7.182,"Moreland (C)",51,68,11.764,11.302,78,70,275,43,24.696,105,45.393,119,7.948,103,"25250",78,101,119,99
94,54,19.64,97.067,17.516,70,908,71,175,93,7.028,2.619,"Mornington Peninsula (S)",80,77,11.646,8.279,78,114,347,25,18.698,79,37.131,189,5.654,109,"25340",80,83,43,97
76,13,16.009,109.684,12.968,137,128,11,44,163,9.107,5.129,"Glenelg (S)",7,17,16.082,14.583,107,19,72,6,37.602,160,62.009,19,11.08,80,"22410",103,139,85,109
121,7,25.386,114.388,29.633,90,113,10,14,136,10.543,null,"Golden Plains (S)",14,12,17.827,12.151,119,17,34,null,14.177,60,34.764,25,7.249,184,"22490",120,78,null,114
110,51,23.026,103.692,12.42,120,546,52,129,109,9.662,5.481,"Greater Bendigo (C)",32,51,16.545,9.735,110,88,258,29,24.513,104,49.115,122,9.674,77,"22620",110,110,91,103
106,78,22.299,97.639,13.423,148,636,44,165,86,6.717,8.563,"Greater Dandenong (C)",43,50,16.299,7.666,109,107,353,56,25.381,108,54.094,145,11.943,83,"22670",76,121,142,97
103,91,21.522,106.369,15.844,99,1203,126,284,119,10.864,6.53,"Greater Geelong (C)",89,120,18.17,10.675,121,208,516,74,25.155,107,45.736,246,8.007,98,"22750",123,102,108,106
112,11,23.389,98.033,11.817,110,120,7,31,117,5.461,null,"Mount Alexander (S)",7,13,12.749,10.504,85,16,45,null,25.256,107,37.749,29,8.863,73,"25430",62,84,null,98
86,5,17.993,111.424,14.788,73,100,5,17,77,5.812,null,"Moyne (S)",6,6,11.576,6.895,77,10,34,null,18.415,78,38.188,16,5.92,92,"25490",66,85,null,111
134,10,28.193,108.066,null,138,97,10,23,125,10.611,null,"Murrindindi (S)",null,10,12.033,11.182,80,11,48,null,25.708,109,54.092,26,11.141,null,"25620",120,121,null,107
61,6,12.842,74.508,17.474,25,228,12,45,88,4.179,1.678,"Nillumbik (S)",28,24,7.243,7.85,48,21,78,5,14.69,62,25.779,39,2.019,108,"25710",47,58,28,74
128,9,26.781,132.509,34.256,146,101,13,13,132,16.192,11.694,"Northern Grampians (S)",12,9,24.438,11.851,163,19,39,9,17.104,73,51.705,21,11.796,212,"25810",184,115,193,132
101,17,21.163,88.603,15.803,54,351,32,87,100,8.659,6.103,"Port Phillip (C)",32,36,12.024,8.937,80,46,160,24,21.934,93,39.981,81,4.339,98,"25900",98,89,101,88
147,null,30.783,134.825,null,null,67,null,8,null,null,null,"Pyrenees (S)",null,null,12.833,null,85,7,16,null,16.972,72,32.408,16,null,null,"25990",null,72,null,134
null,0,null,89.859,null,0,22,0,null,null,0.0,null,"Queenscliffe (B)",null,null,null,null,null,null,7,null,null,null,30.19,null,0.0,null,"26080",0,67,null,89
92,17,19.238,90.005,18.153,119,158,8,36,64,4.308,6.166,"South Gippsland (S)",15,10,9.415,5.723,63,17,71,11,20.452,87,40.572,35,9.578,113,"26170",49,91,102,90
93,7,19.547,117.971,24.27,91,111,13,24,119,13.105,null,"Southern Grampians (S)",11,10,19.653,10.62,131,19,45,null,25.361,108,47.748,19,7.337,150,"26260",149,107,null,117
41,31,8.523,77.408,17.668,85,347,17,52,104,3.755,4.191,"Stonnington (C)",40,42,6.83,9.311,45,31,120,19,11.615,49,26.587,38,6.86,110,"26350",43,59,69,77
143,9,29.923,118.787,null,154,84,13,26,null,16.771,8.323,"Strathbogie (S)",null,null,20.213,null,135,15,47,6,36.763,156,66.841,22,12.452,null,"26430",190,149,138,118
65,6,13.61,89.788,18.33,51,132,null,31,115,null,null,"Surf Coast (S)",13,15,4.195,10.275,28,6,50,null,21.235,90,34.503,20,4.137,114,"26490",null,77,null,89
71,33,14.873,94.979,21.63,69,563,24,111,101,4.182,4.924,"Glen Eira (C)",67,54,8.588,9.08,57,50,203,29,18.7,79,34.146,87,5.597,134,"22310",47,76,81,94
116,10,24.42,116.045,16.184,117,122,14,26,64,12.909,7.557,"Swan Hill (RC)",8,6,21.484,5.729,143,23,51,8,24.747,105,48.611,26,9.444,100,"26610",146,109,125,115
82,null,17.252,86.371,null,null,34,null,10,null,null,null,"Towong (S)",null,null,19.883,null,132,8,14,null,25.367,108,35.94,7,null,null,"26670",null,80,null,86
108,12,22.555,105.436,14.503,94,165,26,26,108,15.903,4.435,"Wangaratta (RC)",11,15,20.648,9.627,137,33,63,7,16.602,71,40.402,36,7.598,90,"26700",180,90,73,105
99,21,20.766,105.157,13.496,159,169,21,32,83,12.651,6.687,"Warrnambool (C)",11,12,20.069,7.395,134,33,75,11,19.608,83,46.714,34,12.853,84,"26730",143,104,111,105
128,25,26.924,126.487,21.195,129,305,22,67,89,8.872,5.822,"Wellington (S)",24,19,17.284,7.95,115,42,128,14,27.941,119,53.722,66,10.404,131,"26810",101,120,96,126
151,null,31.71,133.247,null,null,36,null,8,null,null,null,"West Wimmera (S)",null,null,20.131,null,134,6,17,null,28.036,119,62.971,9,null,null,"26890",null,141,null,133
63,42,13.257,84.737,15.506,67,641,26,97,120,3.326,2.605,"Whitehorse (C)",61,81,7.73,10.778,51,60,212,20,12.738,54,27.851,101,5.449,96,"26980",38,62,43,84
87,50,18.28,99.735,16.171,88,706,41,158,127,6.018,5.832,"Whittlesea (C)",59,81,11.189,11.402,74,78,300,41,22.327,95,42.182,127,7.1,100,"27070",68,94,96,99
129,16,27.106,115.964,27.874,122,189,21,48,103,13.027,4.928,"Wodonga (C)",23,15,17.256,9.217,115,28,86,8,29.508,125,52.825,44,9.857,173,"27170",148,118,82,115
113,52,23.638,97.916,13.539,111,582,42,114,106,7.886,4.504,"Wyndham (C)",43,57,12.671,9.522,84,72,252,26,19.198,82,41.812,133,8.958,84,"27260",89,93,74,97
114,22,23.991,94.395,14.557,91,284,16,60,111,5.602,5.304,"Yarra (C)",23,30,10.8,9.933,72,32,123,16,19.866,84,40.466,69,7.343,90,"27350",64,90,88,94
77,56,16.243,89.435,15.64,94,672,68,131,97,9.183,2.307,"Yarra Ranges (S)",59,65,14.623,8.679,97,108,276,17,17.393,74,36.952,122,7.569,97,"27450",104,83,38,89
119,null,24.987,105.647,null,null,49,null,17,null,null,null,"Yarriambiack (S)",null,null,14.426,null,96,7,25,null,36.392,155,53.919,12,null,null,"27630",null,120,null,105
null,0,null,null,0.0,0,null,0,null,0,0.0,0.0,"Unincorporated Vic",0,0,null,0.0,null,null,null,0,null,null,null,null,0.0,0,"29399",0,null,0,null
