melanoma_of_the_skin_2010_to_2014_sr, lung_cancer_2010_to_2014_asr_per_100000, colorectal_cancer_2010_to_2014_number, lga_name, lga_code, melanoma_of_the_skin_2010_to_2014_asr_per_100000, lung_cancer_2010_to_2014_number, colorectal_cancer_2010_to_2014_sr, melanoma_of_the_skin_2010_to_2014_number, lymphoma_2010_to_2014_sr, lymphoma_2010_to_2014_number, lung_cancer_2010_to_2014_sr, colorectal_cancer_2010_to_2014_asr_per_100000, lymphoma_2010_to_2014_asr_per_100000
98.0,47.15578,187.0541,"Campaspe (S)",21370,52.78595,117.0,117.0,119.5271,91.0,49.88,97.0,77.08004,21.74954
82.0,55.27657,223.316,"Cardinia (S)",21450,44.21521,175.0,106.0,150.658,112.0,90.65799,114.0,69.63595,26.84538
62.0,48.46388,597.9956,"Casey (C)",21610,33.57199,460.9913,93.0,361.0,90.0,227.0,100.0,61.0516,21.41765
83.0,73.61329,77.88981,"Central Goldfields (S)",21670,44.8564,76.99365,117.0,40.73695,103.0,22.79151,152.0,77.17279,24.6171
98.0,41.04494,98.91764,"Colac-Otway (S)",21750,52.94193,56.0,112.0,66.75291,92.0,27.83528,84.0,73.81643,21.86748
101.0,43.14076,100.3026,"Corangamite (S)",21830,54.75923,46.79058,143.0,54.33152,112.0,26.96104,89.0,94.45735,26.82914
43.0,49.95489,456.0,"Darebin (C)",21890,23.52587,360.0,95.0,169.0,107.0,184.0,103.0,62.59785,25.51381
103.0,56.34066,252.2794,"East Gippsland (S)",22110,55.58924,190.8976,117.0,166.2589,112.0,81.00001,116.0,77.24186,26.68992
88.0,53.52829,385.0,"Frankston (C)",22170,47.4618,350.0,89.0,313.0,98.0,153.0,110.0,58.76093,23.27722
114.0,39.31287,80.03758,"Gannawarra (S)",22250,61.54856,33.01656,149.0,45.02103,79.0,14.02103,81.0,98.3148,18.78622
71.0,43.42921,455.0,"Glen Eira (C)",22310,38.3611,314.0,94.0,275.0,122.0,209.0,89.0,62.06237,29.15309
78.0,42.78914,113.8572,"Glenelg (S)",22410,42.26538,54.07939,139.0,50.33464,95.0,27.06288,88.0,91.72853,22.67719
97.0,56.72771,69.0,"Golden Plains (S)",22490,52.38514,48.0,123.0,48.0,70.0,15.0,117.0,81.28124,16.80295
74.0,54.73437,404.8021,"Greater Bendigo (C)",22620,39.84477,317.2343,107.0,221.1838,113.0,150.7097,113.0,70.43917,26.88541
35.0,51.16414,440.0,"Greater Dandenong (C)",22670,19.10802,363.0,94.0,135.0,91.0,154.0,105.0,61.99192,21.63299
87.0,51.21985,864.2641,"Greater Geelong (C)",22750,47.12554,657.1321,103.0,573.3962,102.0,300.0,105.0,67.96156,24.42754
93.0,40.50072,269.9459,"Greater Shepparton (C)",22830,50.46994,135.2129,123.0,163.5794,84.0,65.12,83.0,81.29849,19.97195
133.0,46.88412,64.43669,"Hepburn (S)",22910,72.05916,48.77145,96.0,69.9084,92.0,21.12903,96.0,63.47522,21.86697
66.0,57.62387,37.84906,"Hindmarsh (S)",22980,35.93525,27.69812,122.0,14.99999,98.0,10.0,119.0,80.4035,23.4846
65.0,52.62115,301.2339,"Hobsons Bay (C)",23110,34.93096,230.5531,104.0,155.0,105.0,110.9574,108.0,68.2303,25.15506
77.0,35.24778,98.98381,"Horsham (RC)",23190,41.56415,43.0,125.0,46.90914,77.0,21.0,73.0,82.12273,18.33939
50.0,55.93061,448.0,"Hume (C)",23270,27.08609,357.0,104.0,194.0,110.0,186.0,115.0,68.71581,26.23148
86.0,41.66411,69.71048,"Indigo (S)",23350,46.64815,39.87637,113.0,43.0,105.0,23.0,86.0,74.12204,25.13001
80.0,48.25763,553.0,"Kingston (C)",23430,43.18637,406.0,100.0,353.0,110.0,215.0,99.0,65.82435,26.29179
69.0,45.8042,465.7722,"Knox (C)",23670,37.50263,345.0,94.0,290.0,95.0,173.7722,94.0,61.5712,22.64828
83.0,63.74457,263.2365,"Latrobe (C)",23810,45.16777,262.0606,98.0,178.7562,117.0,111.1707,131.0,64.70677,27.88966
71.0,63.00439,46.34383,"Loddon (S)",23940,38.16471,38.64479,118.0,20.68875,89.0,11.61626,130.0,78.00025,21.20347
89.0,46.06006,148.9734,"Macedon Ranges (S)",24130,48.23967,102.9467,102.0,109.8402,95.0,50.92012,95.0,67.0645,22.71856
71.0,31.42349,437.8162,"Manningham (C)",24210,38.30399,240.8162,89.0,271.265,108.0,183.8162,65.0,58.31649,25.66119
141.0,43.67719,32.90727,"Mansfield (S)",24250,76.35937,24.00022,94.0,38.95383,90.0,11.00001,90.0,61.68756,21.53193
38.0,48.26004,194.0,"Maribyrnong (C)",24330,20.80459,139.0,98.0,67.0,76.0,58.0,99.0,64.7375,18.23837
89.0,44.02901,360.0,"Maroondah (C)",24410,47.93552,250.0,96.0,269.0,86.0,115.0,91.0,63.31294,20.49082
60.0,44.25371,135.992,"Melbourne (C)",24600,32.48052,120.9799,70.0,113.0,86.0,73.0,91.0,46.4123,20.43353
44.0,47.27443,212.0,"Melton (C)",24650,23.80622,159.0,91.0,99.0,92.0,89.0,97.0,60.04915,21.98746
77.0,55.27254,221.0,"Mildura (RC)",24780,41.7374,166.0,113.0,119.0,102.0,70.0,114.0,74.3196,24.30588
77.0,55.94776,152.3503,"Mitchell (S)",24850,41.61582,88.24538,146.0,69.23215,123.0,48.1858,115.0,96.01659,29.25236
76.0,57.10186,149.0,"Moira (S)",24900,41.01291,119.0,112.0,76.0,73.0,33.0,118.0,73.5008,17.49232
59.0,39.62193,556.0,"Monash (C)",24970,31.70069,409.0,83.0,309.0,102.0,241.0,82.0,54.34535,24.28745
60.0,43.38868,400.008,"Moonee Valley (C)",25060,32.20809,266.0201,99.0,193.0,102.0,147.0,89.0,65.1756,24.43256
91.0,66.45545,109.1373,"Moorabool (S)",25150,49.52579,94.88869,116.0,72.69544,96.0,33.28467,137.0,76.56772,22.95182
51.0,51.94083,526.0,"Moreland (C)",25250,27.49055,406.0,101.0,212.0,112.0,209.0,107.0,66.47503,26.82632
115.0,43.66931,676.0,"Mornington Peninsula (S)",25340,62.23399,476.0,97.0,608.0,103.0,243.0,90.0,63.64782,24.50944
105.0,48.70256,93.99085,"Mount Alexander (S)",25430,56.74024,64.18056,111.0,68.55022,86.0,24.96245,100.0,73.00763,20.605
115.0,43.53317,64.90832,"Moyne (S)",25490,62.36677,41.1567,106.0,56.95791,112.0,24.40585,90.0,69.53601,26.80031
117.0,65.87234,52.10762,"Murrindindi (S)",25620,63.07898,57.99769,92.0,52.82028,101.0,20.0,136.0,60.69222,24.06876
83.0,30.94286,161.0,"Nillumbik (S)",25710,44.83409,80.0,93.0,129.0,112.0,75.0,64.0,61.33164,26.76297
104.0,45.33925,81.04445,"Northern Grampians (S)",25810,56.54218,38.82036,147.0,44.0,144.0,27.0,93.0,96.81328,34.36943
80.0,51.20934,250.0,"Port Phillip (C)",25900,43.46252,196.0,96.0,192.0,106.0,108.0,105.0,63.01171,25.2747
68.0,42.79316,33.4,"Pyrenees (S)",25990,36.58194,21.86239,103.0,17.08781,99.0,10.99886,88.0,67.7305,23.52275
165.0,30.37834,19.73585,"Queenscliffe (B)",26080,89.12295,9.867924,96.0,23.60377,null,8.0,63.0,63.40273,null
100.0,46.82681,110.9614,"South Gippsland (S)",26170,54.37582,90.15471,90.0,95.95873,129.0,54.64447,96.0,59.12368,30.75315
85.0,51.5149,87.09877,"Southern Grampians (S)",26260,45.95735,58.86784,118.0,47.62575,123.0,30.88408,106.0,77.56496,29.40102
91.0,36.35024,261.0,"Stonnington (C)",26350,49.2075,184.0,78.0,250.0,100.0,122.0,75.0,51.188,23.92463
100.0,60.36268,61.78359,"Strathbogie (S)",26430,54.25178,49.80636,118.0,39.03702,80.0,13.86593,124.0,77.56249,18.98791
98.0,37.2153,91.08236,"Surf Coast (S)",26490,53.24293,54.0,96.0,77.24709,111.0,38.16472,77.0,63.1149,26.59886
77.0,59.31344,103.9885,"Swan Hill (RC)",26610,41.92972,71.98345,132.0,47.97898,98.0,26.97898,122.0,86.65584,23.2936
68.0,40.41329,33.18544,"Towong (S)",26670,37.02418,18.12363,115.0,15.0,null,8.0,83.0,75.99529,null
108.0,39.1978,124.0,"Wangaratta (RC)",26700,58.72405,72.0,104.0,99.0,79.0,32.0,81.0,68.69149,18.79547
97.0,48.7876,143.8331,"Warrnambool (C)",26730,52.26406,91.10549,118.0,92.75018,97.0,41.68615,100.0,77.50165,23.19699
74.0,56.46261,176.7206,"Wellington (S)",26810,40.12743,145.1024,106.0,97.74108,75.0,43.99999,116.0,69.92306,17.98064
80.0,64.22934,29.0162,"West Wimmera (S)",26890,43.12291,20.0,145.0,12.03239,null,6.0,132.0,95.57699,null
72.0,37.80251,637.0,"Whitehorse (C)",26980,39.01331,352.0,104.0,343.0,109.0,232.0,78.0,68.69393,26.04072
44.0,48.8193,495.0,"Whittlesea (C)",27070,23.54754,329.0,110.0,171.0,95.0,163.0,100.0,72.50299,22.60637
97.0,60.68107,127.0,"Wodonga (C)",27170,52.41163,101.0,115.0,89.0,81.0,33.0,125.0,75.98472,19.37744
47.0,58.79529,315.7661,"Wyndham (C)",27260,25.25126,294.4469,91.0,157.0,104.0,151.0426,121.0,59.79126,24.93895
60.0,54.71692,181.0,"Yarra (C)",27350,32.71203,163.0,89.0,112.0,119.0,95.0,113.0,58.58599,28.30874
81.0,45.97018,449.0999,"Yarra Ranges (S)",27450,43.80693,329.1925,95.0,324.077,97.0,168.7535,95.0,62.72433,23.06811
101.0,41.20557,40.10649,"Yarriambiack (S)",27630,54.65495,24.48152,105.0,28.05848,96.0,12.0,85.0,69.17912,22.88997
0.0,0.0,null,"Unincorporated Vic",29399,0.0,0.0,null,0.0,0.0,0.0,0.0,null,0.0
