lung_canc_2006_2010_num, lymphoma_2006_2010_num, colortl_canc_2006_2010_sr, colortl_canc_2006_2010_asr_100000, lung_canc_2006_2010_asr_100000, colortl_canc_2006_2010_num, lymphoma_2006_2010_asr_100000, lga_code, lung_canc_2006_2010_sr, melanoma_skin_2006_2010_asr_100000, melanoma_skin_2006_2010_num, melanoma_skin_2006_2010_sr, lymphoma_2006_2010_sr
135,57,105,70.7,52.6,189,18.0,"24650",110,30.0,99,58,80
142,69,113,76.1,50.3,213,25.4,"24780",105,45.1,121,88,112
67,44,120,80.9,48.9,112,30.4,"24850",103,42.4,62,82,135
117,29,98,66.3,59.8,127,16.4,"24900",125,59.5,103,116,72
377,205,89,60.1,37.6,595,21.4,"24970",79,34.5,325,67,95
275,126,103,69.3,45.6,415,21.6,"25060",96,34.4,200,67,95
63,32,104,70.4,50.5,89,24.7,"25150",106,56.6,74,110,109
389,197,95,64.4,49.0,505,25.6,"25250",103,25.8,195,50,114
449,224,90,60.5,44.3,601,24.3,"25340",93,62.9,566,122,108
246,140,107,72.6,45.9,386,27.0,"22620",96,48.7,250,95,120
341,146,92,62.1,49.8,423,21.5,"22670",104,17.9,121,35,95
595,308,107,72.6,49.3,869,26.7,"22750",103,48.2,547,94,118
56,35,120,80.8,46.0,97,30.7,"25430",97,49.2,55,96,136
30,16,128,86.7,33.4,78,18.1,"25490",70,58.2,50,113,80
43,23,128,86.3,51.1,72,28.6,"25620",107,65.7,53,128,127
75,63,96,65.1,33.0,153,24.4,"25710",69,45.8,123,89,108
37,20,100,67.4,44.7,55,26.3,"25810",94,49.4,37,96,116
228,103,88,59.3,61.5,225,25.1,"25900",129,46.4,198,90,111
24,null,113,76.1,51.0,36,null,"25990",107,53.6,23,104,null
null,null,99,67.0,null,20,null,"26080",null,59.7,15,116,null
78,37,125,84.6,44.4,147,22.4,"26170",93,54.7,88,106,99
308,215,102,68.9,42.0,506,30.1,"22310",88,43.5,308,85,133
54,28,122,82.8,44.8,99,24.4,"22410",94,40.5,46,79,108
20,23,93,62.6,27.6,46,29.5,"22490",58,48.3,39,94,131
43,27,101,68.1,37.5,77,25.6,"26260",79,53.1,54,103,113
184,122,96,64.5,36.9,322,24.5,"26350",77,46.9,233,91,108
40,null,105,71.3,51.6,54,null,"26430",108,59.6,40,116,null
44,31,111,75.0,35.6,94,25.2,"26490",75,54.6,69,106,112
59,21,126,85.3,49.9,100,18.5,"26610",105,54.6,61,106,82
19,null,78,52.6,42.8,23,null,"26670",90,50.3,20,98,null
65,39,93,62.5,37.5,107,24.2,"26700",79,58.5,93,114,107
85,40,120,81.4,48.9,140,23.6,"26730",103,62.8,104,122,104
137,59,99,66.6,56.8,160,25.6,"26810",119,47.6,109,93,113
16,null,88,59.6,47.6,20,null,"26890",100,38.3,11,75,null
319,198,94,63.2,34.8,573,22.8,"26980",73,41.8,357,81,101
246,157,101,68.5,44.5,382,26.5,"27070",93,22.9,138,45,117
80,35,96,65.1,54.6,96,22.9,"27170",114,46.4,71,90,101
224,112,95,64.1,57.3,261,23.7,"27260",120,30.7,151,60,105
152,73,84,56.5,53.7,164,23.1,"27350",113,37.5,123,73,102
280,150,91,61.6,42.7,407,21.9,"27450",90,49.7,346,97,97
28,14,95,64.4,46.2,38,26.2,"27630",97,42.8,22,83,116
null,null,null,null,null,null,null,"29399",null,null,null,null,null
